# cuau,znau,pbau,
57.3239,74.7606,67.4507
14.9296,73.0000,51.5493
148.4528,29.7925,106.3396
861.6250,175.8750,553.7500
431.1000,948.9000,1507.0000
285.2500,971.2500,1272.7500
17.7101,124.0435,58.2464
3.7488,3.6335,2.0888
16.8972,23.5142,12.0851
13.1831,46.7887,56.3662
3.8123,24.3866,10.2605
53.4000,76.5143,65.9286
66.6087,44.5797,58.0000
57.0571,32.0429,48.5857
655.6667,667.4167,382.3333
20.2429,67.0000,57.1143
7907.0000,4028.0000,3384.0000
793.0000,2170.0000,5320.0000
406.0000,2134.0000,5819.0000
182.4714,62.4714,67.4857
nan,nan,nan
nan,nan,99.0000
