# CuAg Zn2Ag PbAg ratios
814.000,1061.600,957.800
176.667,863.833,610.000
238.424,47.848,170.788
574.417,117.250,369.167
143.700,316.300,502.333
114.100,388.500,509.100
1.997,13.985,6.567
1062.167,1029.500,591.833
680.714,947.286,486.857
156.000,553.667,667.000
194.429,1243.714,523.286
623.000,892.667,769.167
4596.000,3076.000,4002.000
190.190,106.810,161.952
983.500,1001.125,573.500
1417.000,4690.000,3998.000
1976.750,1007.000,846.000
793.000,2170.000,5320.000
406.000,2134.000,5819.000
2128.833,728.833,787.333
nan,nan,nan
nan,nan,nan
