DEPTH,BS,CALI,DDEN,DEN,DT,GR,NPHI,PEF,RDEEP,RMED,RSHAL
4579.5,8.5,8.8091,1.1922,3.9652,88.2487,96.8682,0.5164,10,0.0122,0.0128,0.0345
4580,8.5,8.8054,1.1931,3.9581,88.2498,96.46,0.5022,10,0.033,0.0492,0.03
4580.5,8.5,8.8167,1.1768,3.9354,88.2551,94.4014,0.4784,10,0.0231,0.0287,0.0302
4581,8.5,8.8167,1.1507,3.9037,88.203,97.6573,0.4542,10,0.0108,0.0115,0.0302
4581.5,8.5,8.8167,1.1329,3.8799,88.071,97.787,0.5055,10,0.0291,0.0419,0.0303
4582,8.5,8.8091,1.1255,3.874,87.9267,98.1765,0.516,10,0.04,0.0495,0.0303
4582.5,8.5,8.8054,1.1201,3.8775,88.203,96.6999,0.5081,10,0.0248,0.0272,0.0306
4583,8.5,8.8054,1.1126,3.8778,87.1279,91.2419,0.4958,10,0.0049,0.0116,0.0304
4583.5,8.5,8.8167,1.1067,3.8736,86.8918,87.477,0.475,10,0.0193,0.031,0.0322
4584,8.5,8.8167,1.1096,3.8738,80.9214,82.9087,0.4597,10,100000,100000,0.0323
4584.5,8.5,8.7941,1.1234,3.8901,80.7455,81.375,0.4787,10,0.018,0.0115,0.0349
4585,8.5,8.8167,1.1471,3.9315,80.6928,80.9059,0.4499,10,0.0878,0.1139,0.0477
4585.5,8.5,8.8167,1.2029,4.044,86.8796,79.762,0.4578,10,0.0786,0.0803,0.0482
4586,8.5,8.8016,1.3321,4.2567,86.9049,80.0216,0.4284,10,0.056,0.0837,0.0399
4586.5,8.5,8.8054,1.5004,4.469,86.8922,78.5753,0.4186,10,100000,100000,0.031
4587,8.5,8.8054,1.601,4.559,86.7944,77.6665,0.3964,10,0.0305,0.0242,0.0316
4587.5,8.5,8.8167,1.5623,4.4372,86.8555,76.6506,0.3981,10,100000,100000,0.0341
4588,8.5,8.8016,1.423,4.2343,86.9629,83.0524,0.4196,10,0.0109,0.0265,0.0343
