t,x,y
180,457117.769,4208840.864
10,415942.811,4379116.658
360,442963.877,4290124.782
150,402524.186,4311613.634
120,328078.391,4282416.824
360,368518.082,4348751.976
60,443699.144,4341277.593
290,359327.243,4401072.659
220,433956.855,4256723.632
230,331019.459,4281949.676
80,346092.435,4349452.699
70,384142.508,4389627.509
10,433221.588,4345248.359
100,366679.914,4321190.188
270,462632.272,4216315.248
310,412817.925,4242942.738
210,407119.605,4338941.848
90,356753.808,4352255.593
330,368701.899,4228694.695
230,370356.25,4229395.418
420,445721.129,4292694.101
80,354180.373,4395233.297
10,418700.062,4374678.743
330,329548.925,4300402.059
220,365025.563,4363000.019
90,331938.543,4375613.041
100,360430.144,4222388.184
20,434324.488,4344547.635
30,331019.459,4343613.337
40,358591.976,4390561.807
110,389105.561,4278212.484
200,384877.775,4262796.568
160,398296.4,4253453.589
150,343151.367,4241774.865
60,380649.989,4352722.742
130,398112.583,4333569.635
150,351239.305,4319321.592
210,353996.557,4287321.889
,,
110,345724.802,4331701.039
600,375870.753,4211410.183
440,444618.228,4210709.46
-10000,356753.808,4296898.442
250,455095.784,4241774.865
110,359694.877,4338007.55
330,418148.612,4285219.718
340,324034.422,4285219.718
80,463367.539,4212344.481
90,345908.618,4369306.53
1550,333776.711,4261862.271
150,356202.358,4366036.487
170,345724.802,4243176.312
80,374584.036,4391963.254
1120,320725.72,4265599.462
160,384510.142,4349919.848
190,371459.15,4363467.168
210,330835.643,4223088.907
90,393149.53,4277978.909
340,406384.338,4323525.932
80,343886.634,4399904.786
460,428258.535,4269336.654
110,377341.287,4273540.994
280,440758.076,4321657.337
30,435243.572,4345014.784
60,349952.587,4401773.382
110,386715.943,4259993.675
120,369804.799,4313015.081
110,338372.13,4280314.654
890,417964.795,4333803.209
490,388186.477,4358562.104
50,361349.228,4360897.849
90,467411.508,4320489.464
70,403627.086,4273540.994
2400,335798.696,4263964.441
100,343702.817,4281949.676
1280,381936.707,4378415.935
350,391495.179,4383554.573
50,392230.446,4332401.763
330,380282.356,4256723.632
40,381201.44,4373277.296
1810,371826.784,4256723.632
430,448846.014,4290825.506
330,348849.687,4345715.508
150,338739.764,4393831.85
230,369804.799,4319088.017
10,428626.168,4385423.169
200,431934.87,4253920.738
70,388186.477,4342211.891
230,329181.292,4386123.892
110,327710.757,4401072.659
70,387818.844,4257424.355
120,351974.572,4291993.378
130,435243.572,4339408.997
60,353445.106,4293861.974
80,347746.786,4385189.594
1780,324585.872,4282883.973
290,353812.74,4227526.822
470,431567.237,4320255.89
20,387267.393,4339876.146
190,402708.003,4335905.38
200,367598.998,4378415.935
460,341497.016,4344314.061
20,430280.519,4363700.742
300,372010.601,4331233.89
990,376606.02,4380284.53
180,368150.448,4237804.099
0,447743.113,4327496.699
350,358591.976,4397802.616
60,453625.25,4220986.737
460,398847.85,4341044.018
60,425685.1,4376547.339
20,357856.709,4381919.552
60,354731.824,4325861.677
270,386715.943,4295730.57
70,467227.692,4325628.103
360,442963.877,4315350.826
160,365393.197,4349452.699
330,433037.771,4315817.975
240,340394.115,4301569.932
310,358959.61,4226358.95
140,396458.232,4270738.101
170,383774.875,4217716.694
2700,379179.455,4235468.355
560,368885.716,4382853.85
140,358408.159,4371175.126
370,410428.307,4338941.848
180,423111.665,4227059.673
230,393884.797,4304839.974
320,408406.323,4234534.057
190,323115.338,4329131.72
70,324034.422,4382853.85
180,324769.689,4250650.696
40,420722.047,4266066.611
250,375870.753,4265132.313
220,387083.577,4322358.06
50,408590.139,4273540.994
120,382488.157,4384021.722
230,372194.418,4320022.315
1230,365944.647,4245979.206
210,342048.466,4296197.719
250,414104.643,4357160.657
110,419802.963,4355992.785
110,339842.665,4249015.674
210,434324.488,4245512.057
3670,420170.596,4223088.907
280,407303.422,4333803.209
360,342416.1,4295029.846
2740,440758.076,4238271.248
180,406200.521,4319321.592
550,330100.375,4225658.227
390,423479.298,4275176.016
900,430464.336,4210943.035
120,346460.069,4386123.892
390,379547.089,4380985.254
270,417229.528,4358795.678
650,358224.342,4243877.036
160,394803.881,4314182.953
340,326975.49,4230563.291
50,336901.596,4363233.594
1960,373113.501,4253920.738
220,353628.923,4285920.442
50,332857.627,4344080.486
50,460058.837,4309745.038
270,438000.824,4291759.804
580,455279.601,4283818.271
120,328262.208,4402474.106
130,432486.321,4280081.08
550,409693.04,4289891.208
180,384326.325,4351087.721
30,369620.983,4277745.335
90,347195.336,4350620.572
250,418883.879,4266066.611
160,453441.433,4306241.421
70,461161.738,4314416.528
190,392965.713,4301569.932
100,335063.428,4311146.485
310,405465.254,4297832.74
180,466676.241,4326795.975
50,335431.062,4390328.233
80,384693.958,4387291.765
170,332122.36,4330066.018
10,412082.658,4386123.892
150,343335.183,4309277.889
270,373481.135,4353657.04
240,372745.868,4360664.274
1020,429545.252,4324927.379
190,338004.497,4331233.89
1930,323299.155,4296197.719
80,340026.481,4366270.062
1190,365209.38,4271672.399
340,379363.272,4335204.656
160,419435.329,4316752.273
400,414288.46,4256723.632
200,410979.758,4333569.635
40,356202.358,4294562.697
80,353628.923,4301569.932
80,436530.29,4351788.444
270,411347.391,4289190.484
330,457301.586,4296197.719
60,398480.217,4322358.06
120,336901.596,4313482.23
300,410060.674,4231964.737
280,430648.153,4305540.698
80,450316.548,4318620.868
10,355834.724,4328664.571
80,390943.729,4297599.165
80,378260.371,4298066.314
150,346276.252,4290358.357
70,356386.175,4374912.317
1300,367231.365,4245044.908
130,400686.018,4256022.909
170,458588.303,4334737.507
320,400318.385,4301102.783
70,371459.15,4308343.591
280,340577.932,4293628.399
630,320725.72,4274942.441
100,365944.647,4313248.655
200,350871.671,4287555.463
140,390024.645,4299934.91
60,324034.422,4382620.275
1250,445353.495,4239439.121
180,366863.731,4366970.785
320,370356.25,4345949.082
580,414472.276,4285920.442
480,373664.952,4268168.781
1580,366863.731,4249949.972
130,461529.371,4328197.422
160,416126.627,4282183.25
160,327710.757,4385189.594
20,356202.358,4259526.526
1110,386532.126,4246446.355
20,359694.877,4216782.396
90,457853.036,4312547.932
1150,433956.855,4214446.652
70,445904.945,4335438.231
40,354548.007,4391963.254
1890,419435.329,4210475.886
1180,430464.336,4222154.609
80,349768.771,4342445.465
550,387635.027,4375379.466
510,388921.744,4358795.678
70,415391.36,4295730.57
260,327159.307,4330066.018
370,438552.274,4260927.973
360,331203.276,4214213.077
60,329732.742,4230096.142
120,400502.201,4326095.252
50,380466.173,4306474.996
10,359143.426,4328898.145
60,353261.289,4214913.801
140,362084.495,4299000.612
110,354364.19,4229628.993
330,365025.563,4239906.27
190,397928.766,4313248.655
810,408406.323,4276811.037
30,351423.122,4333336.06
460,324953.506,4285219.718
140,416678.078,4282416.824
240,343702.817,4349219.125
40,358959.61,4386357.467
110,324034.422,4323993.081
300,397377.316,4342679.04
20,442412.427,4342679.04
530,320358.086,4233833.333
170,441493.343,4280314.654
380,401053.652,4227526.822
20,426420.367,4356226.359
100,326424.04,4346883.38
80,352342.206,4296197.719
110,338555.947,4312314.358
680,445721.129,4281716.101
140,392046.63,4260460.824
180,337820.68,4395934.02
60,465021.89,4312080.783
300,432302.504,4250650.696
70,345540.985,4293861.974
590,412266.475,4232198.312
10,344989.534,4293394.825
140,450867.998,4309978.613
-10000,392598.08,4341044.018
130,368701.899,4287789.037
100,329916.559,4348985.55
920,370907.7,4249015.674
2120,386899.76,4242008.44
70,405649.071,4331000.316
450,398112.583,4342912.614
220,426052.733,4344314.061
490,345173.351,4223088.907
190,332306.177,4402006.957
210,373848.769,4268869.505
640,376973.654,4218417.418
410,426052.733,4320022.315
140,339842.665,4398269.765
140,342599.916,4241541.291
340,362268.312,4285219.718
100,329548.925,4380751.679
60,407854.872,4275409.59
240,401237.468,4264198.015
80,353445.106,4300402.059
200,382120.524,4394766.148
2090,362268.312,4260460.824
120,336350.146,4311613.634
30,432486.321,4344547.635
250,383407.241,4329365.294
160,452154.716,4306708.57
760,443515.327,4208840.864
950,360797.777,4224957.503
30,342967.55,4233599.759
90,378628.005,4360664.274
170,334511.978,4292927.676
150,338923.581,4354357.763
190,322563.888,4250417.121
10,420722.047,4386824.616
120,386715.943,4272606.696
90,367598.998,4377248.062
1010,427155.634,4326095.252
180,326607.857,4390795.382
30,407487.239,4253453.589
80,353996.557,4379817.381
470,393700.981,4227293.248
210,396642.049,4337773.976
30,387451.21,4303905.676
660,423111.665,4220519.588
70,320909.537,4216548.822
30,327159.307,4210709.46
1020,447007.846,4283584.697
50,338372.13,4365802.913
770,409325.407,4351788.444
80,370540.067,4372576.573
20,360981.594,4328430.996
260,417413.345,4274008.143
60,421641.131,4249249.249
180,452706.166,4315584.4
1600,442044.793,4242475.589
630,415023.727,4308110.017
1560,417045.711,4210242.311
,,
250,451419.449,4224490.354
120,351423.122,4348751.976
70,409509.223,4372810.147
40,335247.245,4225191.078
290,372378.234,4332635.337
1030,363003.579,4399204.063
2070,322563.888,4280314.654
40,370723.883,4275876.739
160,350871.671,4255789.334
150,402708.003,4240373.419
10,410795.941,4401072.659
770,393333.347,4376080.19
