Northing,Easthing,Elevation
3650018,394922,986
3637268,373672,1083
3632718,382422,1055
3623818,364422,1230
3631518,378072,1079
3646968,389872,1050
3662818,387222,1089
3622068,373122,1232
3620468,366372,1254
3619668,406622,1371
3629468,372022,1099
3654018,402572,906
3629568,400922,1148
3640918,386272,979
3635318,386272,1152
3637218,380922,989
3661168,374222,1492
3649468,415872,966
3623718,361072,1242
3639968,403022,1017
3632268,396622,1106
3662568,381272,1212
3655118,388572,1094
3635718,411572,1100
3629068,373272,1120
3632318,389622,1102
3659718,365622,1529
3651968,369222,1659
3656218,372172,1716
3621018,389572,1272
3629418,413522,1188
3639018,387422,1047
3625818,403922,1207
3650468,397772,943
3631818,403622,1137
3620468,398472,1254
3654868,361422,1608
3646268,392272,975
3631068,368272,1095
3645618,394422,962
3653368,417472,935
3637918,404072,1047
3642618,375622,1107
3643318,391872,970
3665268,398522,1041
3648818,386322,1129
3632168,386622,1106
3659118,412522,883
3665818,364372,1510
3645418,384822,1063
3642918,402472,977
3629518,411472,1178
3629018,371422,1116
3651868,382922,1154
3641668,404872,1021
3623168,367472,1212
3632618,398772,1092
3620118,406472,1360
3634268,362672,1079
3651318,407472,921
3619818,384172,1258
3628368,378972,1135
3631318,366822,1109
3634768,366672,1066
3637668,383222,1017
3636518,404472,1064
3639818,374122,1096
3660918,363272,1617
3620418,414872,1344
3639068,370522,1114
3636968,395222,1018
3644868,372822,1165
3654718,365522,1629
3640168,366122,1304
3645968,370572,1210
3634068,405972,1107
3634268,388022,1107
3662368,417472,872
3619818,390872,1307
3638218,368572,1145
3663068,392372,1106
3653768,366222,1639
3655418,394372,1048
3635918,389972,1124
3662968,372072,1382
3649518,365072,1571
3651868,368972,1671
3658018,386172,1127
3645318,392422,984
3628418,364172,1157
3647518,394472,952
3630168,412822,1172
3645018,390672,1070
3663618,369522,1444
3633718,398922,1072
3624718,371972,1198
3620918,399422,1234
3632168,404672,1131
3626418,411572,1224
3652768,399872,936
3655468,375372,1470
3655868,380722,1227
3648118,408522,943
3648718,384822,0
3648568,377872,1183
3630018,368972,1097
3654218,407772,872
3642268,371672,1161
3653368,402872,897
3643768,386372,1015
3648818,368222,1434
3631718,415172,1156
3641968,383272,1019
3655718,411472,911
3620118,377372,1317
3651918,398372,939
3647268,406622,952
3621618,393672,1260
3626018,392022,1201
3665568,394172,1171
3657268,384772,1142
3632918,394922,1072
3634518,400122,1058
3629868,365622,1110
3622468,387422,1228
3638018,400322,1005
3623018,372472,1225
3651618,392572,1069
3627518,402322,1179
3658468,385872,1156
3648268,362622,1478
3628618,395722,1150
3664768,417272,857
3642668,394572,963
3662718,409672,898
3664918,398372,1033
3663568,373172,1360
3645668,407772,965
3665918,405622,961
3658068,384122,1132
3624868,417372,1275
3629318,398872,1102
3626618,365772,1169
3642268,369172,1235
3633468,384472,1064
3651568,401022,906
3636318,411522,1094
3664218,405022,950
3650618,377722,1215
3651568,370572,1511
3644768,377922,1086
3625068,363772,1228
3621568,385322,1267
3628418,379572,1131
3658118,401572,957
3662218,374072,1403
3639168,398072,999
3630618,371422,1080
3660418,406722,910
3620968,381322,1251
3653268,401722,905
3626468,389372,1285
3642918,411822,1032
3621718,366372,1232
3631918,370122,1067
3628018,389972,1274
3631118,402322,1143
3658518,388072,1084
3645518,386172,1046
3663368,374372,1360
3642168,394272,983
3635118,376772,1005
3652118,402022,897
3664318,407072,928
3631618,415172,1156
3643468,411222,1030
3646918,387072,1064
3665568,371972,1363
3640218,387822,1076
3645618,372272,1184
3657768,386172,1116
3625418,399722,1171
3647568,388622,1038
3664668,378172,1257
3664968,370822,1381
3643218,397572,960
3622018,405622,1283
3643718,380572,1094
3644618,378622,1110
3649118,385422,1274
3645318,405472,988
3651918,406472,908
3635468,405172,1081
3648618,405772,931
3632018,393772,1084
3665518,402072,1007
3654718,365772,1628
3657218,408722,883
3653868,409522,917
3637668,390572,1123
3647718,380822,1255
3665768,382072,1215
3633418,401072,1109
3634718,375872,1032
3648718,374472,1252
3626368,373972,1161
3630818,412872,1168
3660518,374772,1692
3638618,363772,1284
3628218,382572,1130
3636368,367322,1104
3628368,408522,1168
3643068,414472,1031
3665918,398922,1063
3622718,363572,1249
3643118,412372,1031
3664918,411022,891
3629018,366922,1126
3652368,410822,938
3644418,407172,996
3650268,402222,907
3628568,405572,1175
3658118,384022,1135
3647868,386872,1082
3644968,370672,1229
3624768,389272,1206
3626618,381622,1144
3634168,371572,1063
3621718,416272,1332
3644818,397322,948
3629068,392072,1194
3643568,399572,952
3625768,405422,1216
3620518,396472,1257
3622168,383422,1207
3636468,383872,1043
3624568,414922,1271
3623268,373772,1208
3624218,392972,1192
3633868,385872,1112
3632968,408622,1122
3644518,404572,975
3648968,396222,944
3662668,365272,1584
3662568,383122,1157
3640068,393322,994
3635718,387722,1135
3646818,411372,999
3638218,381522,996
3649468,370372,1348
3649068,385622,1221
3641218,363222,1785
3622918,370322,1216
3657068,416622,914
3638118,401372,1006
3643968,364422,1636
3653918,399572,944
3655168,388122,1103
3637118,405322,1070
